antecedent;consequent;lift;confidence;support;netconf;amplitude;coverage
MSFT [-12.37, 7.43]%, DIA [-11.62, 15.11]%, GOOGL [-15.92, 0.28]%, MU [-22.57, 37.64]%, XLE [-10.68, 25.15]%;XLK [-17.04, -6.42]%;1.382;0.024;0.01;0.012;0.447;0.434
GOOGL [-4.30, 13.59]%, WMT [-12.99, 15.32]%, IWM [-24.00, -0.60]%, DIA [-12.58, 7.61]%, XLK [-17.04, 4.54]%;MSFT [-2.90, 1.02]%;1.212;0.56;0.156;0.136;0.485;0.279
EEM [-18.95, 27.63]%, GOOGL [-16.80, 1.34]%, SPY [-9.22, 8.86]%, month([11, 12]), SHY [-0.56, 0.09]%, WMT [-1.38, 2.10]%, DIA [-10.69, 15.11]%, XLE [-11.28, 27.88]%, UUP [-2.45, 6.24]%;MSFT [-3.24, 0.21]%;1.274;0.444;0.02;0.1;0.549;0.046
MU [1.87, 28.47]%, UUP [-2.23, 0.62]%, MSFT [-7.31, 6.31]%, HYG [-11.64, 11.47]%, DIA [1.28, 15.11]%, XLK [-11.11, 13.91]%;SPY [-0.71, 4.98]%;1.368;0.978;0.116;0.299;0.529;0.119
SAP [-25.12, 9.29]%, XLF [-4.55, 26.85]%, MSFT [0.99, 6.71]%, EEM [-25.71, 26.85]%, GOOGL [-16.83, 15.87]%, DIA [-18.87, 15.11]%, month(12), EWP [-5.62, 16.88]%;UUP [-0.44, 4.99]%;1.242;0.758;0.021;0.152;0.443;0.028
GOOGL [-14.50, 9.59]%, MU [-39.22, 33.33]%, DIA [-15.47, 15.11]%, MSFT [-6.81, 6.87]%, week_number([666, 1039]), XLK [-11.98, 15.42]%, HYG [-11.33, 11.47]%;UUP [-1.16, 2.46]%;1.232;0.926;0.278;0.249;0.358;0.3
MU [-42.85, 37.14]%, WMT [-7.93, 5.31]%, GOOGL [-16.83, 10.61]%, HYG [-11.59, 9.77]%, month(12), XLK [-11.03, 8.89]%, DIA [-18.87, 8.24]%, MSFT [-6.58, 8.21]%;UUP [-1.33, 2.21]%;1.247;0.949;0.063;0.201;0.445;0.067
SAP [-28.84, 17.57]%, GOOGL [-16.50, 9.54]%, HYG [-8.42, 7.56]%, WMT [-9.46, 15.32]%, AAPL [-11.76, 18.41]%, XLK [-17.04, 10.71]%, month(12), TLT [-3.57, 11.91]%, XLE [-5.35, 13.77]%, NVDA [-34.50, 13.07]%, DIA [-7.43, 6.46]%;UUP [-1.79, 4.68]%;1.215;1.0;0.061;0.188;0.395;0.061
MSFT [-4.26, 3.81]%, WMT [-3.10, 4.32]%, GOOGL [-16.83, 15.43]%, week_number([505, 766]), month([11, 12]), NVDA [-33.68, 36.33]%, SPY [-1.32, 17.33]%, XLK [-13.63, 12.72]%;UUP [-1.81, 3.43]%;1.216;1.0;0.029;0.183;0.528;0.029
GOOGL [-16.14, 24.89]%, XLK [-17.04, 3.39]%, XOM [-9.11, 18.07]%, HYG [0.12, 11.47]%, CPB [-13.61, 20.14]%, DIA [-10.87, 15.11]%, XLE [-8.02, 27.88]%, NVDA [5.76, 33.30]%;UUP [-3.34, 0.85]%;1.223;0.841;0.045;0.162;0.362;0.054
GOOGL [1.69, 16.62]%, WMT [-13.03, 1.88]%, DIA [-10.69, 15.11]%, MSFT [-6.90, 9.73]%, NVDA [-29.58, 33.66]%, UUP [-3.48, 4.69]%, XLK [-0.46, 1.51]%;XLE [-0.18, 3.30]%;1.34;0.556;0.038;0.151;0.53;0.069
GOOGL [-16.34, 9.60]%, SAP [-28.84, 22.44]%, WMT [1.69, 15.32]%, NVDA [-31.19, 35.74]%, TLT [1.13, 11.91]%, DIA [-12.47, 4.96]%;XLE [-4.42, 0.09]%;1.338;0.5;0.031;0.135;0.418;0.061
EEM [-25.71, 10.88]%, GOOGL [-16.82, 13.60]%, IWM [2.34, 7.22]%, DIA [-9.12, 12.73]%, MSFT [-11.16, 2.21]%;XLK [-1.79, 3.54]%;1.261;0.93;0.09;0.213;0.559;0.097
IWM [-2.36, 4.57]%, GOOGL [-16.81, 1.59]%, DIA [-15.59, 13.77]%, SAP [-16.74, 22.44]%, XLE [-0.81, 0.96]%;XLK [-2.36, 2.07]%;1.302;0.867;0.1;0.227;0.61;0.115
GOOGL [-6.62, 5.63]%, EEM [-25.71, 2.39]%, DIA [-5.09, 8.03]%, SPY [-7.21, 7.41]%, MSFT [-6.79, 6.58]%;XLK [-2.86, 0.23]%;1.214;0.425;0.284;0.226;0.657;0.669
GOOGL [-12.56, 26.77]%, SHY [-0.92, 1.35]%, TLT [2.73, 7.88]%, week_number([7, 1172]), MSFT [-11.33, 5.23]%, HYG [-11.63, 11.12]%, UUP [-2.29, 4.04]%;XLK [-4.88, -1.00]%;1.75;0.379;0.019;0.171;0.338;0.049
HYG [-11.65, 8.78]%, SHY [-0.54, 0.22]%, UUP [-2.03, 4.34]%, MSFT [-0.80, 14.41]%, XLK [-17.04, 13.44]%, XLE [1.26, 26.35]%, DIA [-18.87, 15.11]%;NVDA [10.09, 27.05]%;1.837;0.116;0.025;0.067;0.397;0.213
