antecedent;consequent;lift;confidence;support;netconf;amplitude;coverage
XLK [-14.81, 12.29]%, KO [3.95, 11.49]%, IYR [-31.10, 33.08]%, QQQ [-10.43, 13.93]%, VXX [-19.77, 78.34]%, IWM [-21.37, 21.65]%, JPM [-29.62, 16.15]%;CPB [1.68, 13.46]%;2.169;0.567;0.015;0.313;0.303;0.026
IWM [-6.36, 6.73]%, DIS [-11.09, -2.18]%, JPM [-10.06, 10.59]%;DIA [-11.67, -1.99]%;3.015;0.319;0.058;0.261;0.736;0.182
IWM [-7.38, 6.49]%, week_number([1071, 1124]), JPM [-9.72, 10.76]%;EFX [-23.59, -1.01]%;1.231;0.358;0.016;0.07;0.74;0.045
IYR [-9.26, 15.40]%, XLK [-2.75, 11.50]%, JPM [-9.77, 10.75]%;GOOGL [0.20, 17.69]%;1.103;0.581;0.51;0.442;0.633;0.877
VXX [-23.63, 83.89]%, month([3, 11]), SPY [-10.15, 1.53]%, TSLA [2.58, 17.35]%, XLE [-19.75, 27.88]%, MSFT [-13.75, 16.89]%, XLF [-30.17, 31.52]%;HYG [-0.43, 2.53]%;1.26;0.791;0.091;0.184;0.375;0.114
VXX [-23.63, 83.89]%, month([3, 11]), SPY [-10.15, 1.53]%, TSLA [2.58, 17.35]%, XLE [-19.75, 27.88]%, MSFT [-13.75, 16.89]%, XLF [-30.17, 31.52]%;HYG [-0.43, 2.53]%;1.26;0.791;0.091;0.184;0.375;0.114
VXX [-11.23, 72.17]%, month([1, 12]), IWM [-0.23, 19.47]%, JPM [-34.38, 38.82]%;HYG [0.67, 11.47]%;1.515;0.307;0.124;0.175;0.29;0.404
VXX [-20.47, 85.30]%, XLK [1.90, 4.12]%, GOOGL [-13.86, 2.48]%, GLD [-2.44, 13.30]%, TLT [-5.90, 4.95]%, EFX [-18.18, 8.04]%, MSFT [-14.11, 14.10]%;IWM [1.48, 19.14]%;2.015;0.645;0.034;0.343;0.47;0.053
SHY [-0.20, 0.75]%, IWM [-6.12, 6.49]%, XLV [-8.42, -0.83]%, JPM [-9.23, 11.29]%;IYR [-29.63, -2.93]%;1.928;0.209;0.047;0.13;0.662;0.225
IWM [-4.88, 10.29]%, week_number([325, 617]), MSFT [-11.38, 10.63]%;JPM [0.30, 0.86]%;1.198;0.106;0.026;0.023;0.69;0.241
IWM [-4.88, 10.29]%, week_number([325, 617]), MSFT [-11.38, 10.63]%;JPM [0.30, 0.86]%;1.198;0.106;0.026;0.023;0.69;0.241
IWM [-4.88, 10.29]%, week_number([325, 617]), MSFT [-11.38, 10.63]%;JPM [0.30, 0.86]%;1.198;0.106;0.026;0.023;0.69;0.241
MSFT [-13.14, 14.87]%, NVDA [-5.81, 36.33]%, GOOGL [-4.42, 6.58]%, SPY [-1.25, 11.59]%, WMT [-3.43, 2.98]%;JPM [0.88, 6.21]%;1.195;0.447;0.252;0.167;0.623;0.564
IWM [-7.59, 12.16]%, NVDA [4.47, 5.79]%;JPM [-1.07, 2.94]%;1.239;0.593;0.041;0.123;0.832;0.069
IWM [-7.59, 12.16]%, NVDA [4.47, 5.79]%;JPM [-1.07, 2.94]%;1.239;0.593;0.041;0.123;0.832;0.069
XLE [-4.63, 27.88]%, MSFT [-15.04, 11.32]%, UUP [-2.05, 4.50]%, WMT [0.66, 12.19]%;JPM [1.48, 8.63]%;1.34;0.426;0.144;0.163;0.535;0.339
MSFT [-15.84, 13.73]%, SPY [-18.91, -1.52]%, XLE [-26.45, 27.88]%;JPM [-18.84, -3.91]%;4.195;0.34;0.056;0.31;0.397;0.163
XLE [-34.55, 21.95]%, MSFT [-16.96, 13.60]%, BA [5.79, 84.78]%;JPM [3.20, 39.76]%;2.453;0.421;0.034;0.271;0.272;0.081
DIA [-11.27, 15.11]%, META [-9.22, 15.86]%, SPY [-9.86, -0.91]%, MSFT [-15.96, 15.91]%;JPM [-4.94, 2.70]%;1.166;0.846;0.117;0.14;0.5;0.138
XLK [-4.11, -3.35]%, XLE [-14.94, 16.68]%;JPM [-6.43, 1.66]%;1.355;0.875;0.03;0.238;0.788;0.034
IWM [-10.51, 9.49]%, NVDA [-3.43, -0.41]%;JPM [-8.90, -0.32]%;1.213;0.468;0.088;0.101;0.803;0.188
IWM [-0.47, 10.72]%, XLE [-22.14, 27.60]%, MSFT [-10.59, 12.12]%;MU [13.40, 23.01]%;1.578;0.05;0.031;0.048;0.544;0.617
TLT [-3.52, 6.40]%, IWM [-7.37, 6.49]%, MU [13.05, 34.99]%, JPM [-9.71, 10.75]%;SAP [3.59, 22.44]%;2.835;0.429;0.013;0.286;0.654;0.03
XLF [-6.17, 1.68]%, IWM [-7.37, 6.49]%, JPM [-9.71, 10.75]%;SHY [0.09, 1.35]%;1.102;0.343;0.244;0.11;0.687;0.713
XLF [-6.17, 1.68]%, IWM [-7.37, 6.49]%, JPM [-9.71, 10.75]%;SHY [0.09, 1.35]%;1.102;0.343;0.244;0.11;0.687;0.713
XLF [-6.17, 1.68]%, IWM [-7.37, 6.49]%, JPM [-9.71, 10.75]%;SHY [0.09, 1.35]%;1.102;0.343;0.244;0.11;0.687;0.713
VXX [-18.36, 82.10]%, SPY [0.52, 17.92]%, MSFT [-12.34, 8.28]%, XLE [-3.84, 4.73]%;TLT [-2.67, -1.55]%;1.127;0.115;0.035;0.019;0.575;0.303
VXX [-18.36, 82.10]%, SPY [0.52, 17.92]%, MSFT [-12.34, 8.28]%, XLE [-3.84, 4.73]%;TLT [-2.67, -1.55]%;1.127;0.115;0.035;0.019;0.575;0.303
IYR [1.98, 26.39]%, month([10, 12]), VXX [-26.55, 79.54]%, MSFT [-16.25, 16.00]%, XLE [-6.23, 27.88]%;TSLA [-1.71, 5.52]%;1.366;0.412;0.018;0.115;0.487;0.044
CLX [-8.95, 10.30]%, DIA [-16.07, 12.27]%, IWM [-5.92, 6.66]%, META [-7.03, 12.24]%, JPM [-9.36, 10.63]%;TSLA [11.74, 32.92]%;1.295;0.073;0.04;0.037;0.563;0.55
IWM [-7.42, 6.50]%, week_number([699, 1123]), JPM [-9.71, 10.75]%;UUP [-1.07, 6.24]%;1.227;0.922;0.322;0.262;0.6;0.349
VXX [-16.41, 88.34]%, month([3, 12]), EFX [-22.56, -1.74]%, BA [-6.39, 11.67]%, CLX [-14.49, 0.73]%, XLF [-4.64, 0.05]%, XLE [-3.11, 9.74]%, MSFT [-13.98, 14.72]%;UUP [-1.18, 6.24]%;1.159;0.887;0.04;0.127;0.503;0.045
month([8, 12]), XLE [-33.08, 19.91]%, VXX [-12.36, 84.18]%, BA [-4.71, 47.24]%, XLF [-20.40, 15.86]%, CPB [-2.02, 20.14]%, JPM [-27.67, 39.76]%;UUP [-1.97, 6.24]%;1.176;0.98;0.212;0.187;0.336;0.216
month([5, 12]), VXX [-28.19, 88.71]%, BA [-16.04, 80.82]%, EWP [-26.58, 7.84]%, MSFT [-12.22, 16.89]%;UUP [-3.11, 0.36]%;1.15;0.613;0.306;0.16;0.282;0.499
month([5, 12]), VXX [-28.19, 88.71]%, BA [-16.04, 80.82]%, EWP [-26.58, 7.84]%, MSFT [-12.22, 16.89]%;UUP [-3.11, 0.36]%;1.15;0.613;0.306;0.16;0.282;0.499
VXX [-18.18, 82.04]%, month([5, 12]), BA [-15.15, 84.78]%, JPM [-27.66, 30.88]%;UUP [-3.67, 1.09]%;1.186;0.879;0.447;0.28;0.306;0.508
VXX [-18.18, 82.04]%, month([5, 12]), BA [-15.15, 84.78]%, JPM [-27.66, 30.88]%;UUP [-3.67, 1.09]%;1.186;0.879;0.447;0.28;0.306;0.508
IWM [-13.54, 7.96]%, XLE [-34.55, 27.88]%, month([1, 12]), SPY [-17.29, 8.10]%, VXX [-14.04, 77.47]%, JPM [-29.03, 39.76]%, MSFT [-14.08, 16.15]%, EFX [-21.58, 12.74]%;UUP [-4.30, 2.06]%;1.167;0.972;0.713;0.523;0.228;0.734
TLT [-6.50, 6.47]%, VXX [-12.36, 90.42]%, month([8, 12]), MSFT [-11.25, 12.32]%, BA [-7.98, 25.18]%;UUP [-4.53, 0.98]%;1.179;0.849;0.24;0.18;0.434;0.283
TLT [-6.50, 6.47]%, VXX [-12.36, 90.42]%, month([8, 12]), MSFT [-11.25, 12.32]%, BA [-7.98, 25.18]%;UUP [-4.53, 0.98]%;1.179;0.849;0.24;0.18;0.434;0.283
EFX [-23.81, 20.81]%, VXX [-15.27, 86.67]%, month([3, 12]), TSLA [9.99, 29.90]%, JPM [-33.58, 39.76]%, MSFT [-12.25, 16.89]%, IWM [-5.32, 20.20]%;UUP [-4.60, 3.05]%;1.153;0.984;0.051;0.138;0.258;0.052
SAP [-28.70, 22.44]%, VXX [-20.14, 72.40]%, MSFT [-15.75, 14.66]%, EFX [-13.02, -6.67]%;UUP [-4.71, 1.57]%;1.154;0.935;0.025;0.128;0.327;0.026
