antecedent,consequent,lift,confidence,support,netconf,amplitude,coverage
"DIA [0.84, 6.37]%, HYG [-10.97, 9.57]%","XLE [-2.16, 13.78]%",1.22,0.957,0.302,0.252,0.564,0.316
"DIA [1.79, 5.94]%, MSFT [3.12, 15.45]%","XLE [-0.24, 11.97]%",1.436,0.83,0.062,0.272,0.773,0.075
"MSFT [-0.66, 10.32]%, week_number([396, 865]), DIA [-0.36, 1.66]%","XLE [-0.67, 6.92]%",1.235,0.738,0.115,0.166,0.773,0.156
"MSFT [-9.35, 10.17]%, DIA [-10.87, 1.04]%, UUP [-3.68, 4.17]%","XLE [-15.71, 1.31]%",1.236,0.758,0.425,0.329,0.521,0.561
"MSFT [-9.81, 9.98]%, DIA [-7.35, -4.89]%","XLE [-13.08, 1.23]%",1.421,0.857,0.01,0.257,0.704,0.012
"XLK [-17.04, 4.90]%, XOM [-14.83, 0.08]%, JNJ [-9.94, 6.51]%, DIA [-9.06, 6.26]%","XLE [-9.01, -0.55]%",1.973,0.724,0.317,0.636,0.55,0.439
"GOOGL [-16.83, 11.37]%, MU [-7.55, 37.01]%, IYR [-2.25, 33.08]%, NVDA [-29.49, 36.33]%, XOM [1.81, 18.07]%, DIA [-11.32, 3.69]%, XLK [-16.10, 2.16]%, AAPL [-6.12, 9.78]%","XLE [-1.21, 21.65]%",1.415,0.982,0.137,0.334,0.476,0.139
"MSFT [-0.14, 4.39]%, IYR [-11.46, 33.08]%, EEM [4.35, 26.43]%, SAP [-15.51, 22.44]%, DIA [-8.35, 5.14]%","XLE [-1.77, 12.89]%",1.26,0.946,0.03,0.201,0.565,0.032
"JNJ [-10.36, 1.77]%, MSFT [1.00, 15.98]%, HYG [-1.74, 0.40]%","XLE [-15.13, 0.97]%",1.214,0.693,0.096,0.142,0.682,0.139
"week_number([787, 985]), DIA [-11.76, -0.29]%","XLE [-8.55, -0.19]%",1.442,0.583,0.036,0.191,0.786,0.061
"CPB [-11.70, 19.66]%, SPY [-17.32, 10.72]%, DIA [1.61, 10.73]%","XLE [-1.75, 9.55]%",1.234,0.917,0.18,0.217,0.465,0.196
"DIA [-6.36, 1.20]%, week_number([855, 972])","XLE [-9.78, -0.49]%",1.317,0.493,0.032,0.127,0.843,0.064
"HYG [-11.65, 10.98]%, MU [-8.83, 40.36]%, SAP [-28.84, 22.44]%, XLK [-16.06, 1.12]%, XOM [2.81, 3.58]%, AAPL [-5.51, 3.86]%, DIA [-11.30, 0.84]%","XLE [-0.78, 15.90]%",1.498,0.958,0.02,0.325,0.508,0.02
"SAP [-27.53, 22.44]%, GOOGL [-16.36, 10.04]%, HYG [-1.17, 6.60]%, MU [-0.95, 38.52]%, NVDA [10.13, 27.16]%, AAPL [1.58, 18.41]%, DIA [-5.29, 14.60]%","XLE [-1.94, 27.66]%",1.259,0.969,0.026,0.205,0.496,0.027
"XOM [-0.62, 0.70]%, AAPL [-24.13, 12.81]%, GOOGL [-16.83, 3.20]%, MSFT [-9.70, 15.32]%","XLE [-8.96, 1.17]%",1.317,0.773,0.128,0.223,0.553,0.166
"AAPL [-14.58, 18.41]%, GLD [1.97, 13.30]%, TLT [-5.55, 9.44]%, UUP [-3.89, 1.48]%, DIA [-15.87, -1.75]%, XLE [-10.83, 2.86]%","XLK [-17.04, 0.37]%",2.089,1.0,0.02,0.532,0.471,0.02
"MSFT [-2.49, 12.03]%, XOM [-9.13, 18.07]%, DIA [-6.65, -2.70]%","XLE [-10.91, -1.45]%",2.538,0.684,0.011,0.421,0.671,0.016
"JNJ [-9.79, 3.65]%, SPY [-18.01, 11.00]%, DIA [-6.19, -0.83]%, HYG [-1.74, 7.76]%, MSFT [-1.26, 16.37]%","XLE [-16.38, 0.06]%",1.765,0.782,0.058,0.366,0.555,0.074
"month([6, 8]), DIA [-10.12, 1.61]%","XLE [-8.73, -1.14]%",1.415,0.413,0.081,0.151,0.784,0.196
"KO [-14.16, 8.17]%, SPY [-17.96, 15.07]%, HYG [-4.36, 11.47]%, MSFT [-8.07, 5.29]%, DIA [-11.99, 0.09]%","XLE [-11.02, 0.60]%",1.449,0.728,0.252,0.345,0.459,0.346
"SAP [-28.84, 17.57]%, GOOGL [-16.50, 9.54]%, HYG [-8.42, 7.56]%, WMT [-9.46, 15.32]%, AAPL [-11.76, 18.41]%, XLK [-17.04, 10.71]%, month(12), TLT [-3.57, 11.91]%, XLE [-5.35, 13.77]%, NVDA [-34.50, 13.07]%, DIA [-7.43, 6.46]%","UUP [-1.79, 4.68]%",1.215,1.0,0.061,0.188,0.395,0.061
"DIS [-10.16, 13.12]%, EEM [-19.17, 17.72]%, MSFT [-12.44, 6.82]%, GOOGL [-16.83, 4.64]%, KO [-19.19, 0.87]%, XLE [-9.68, -3.34]%, SHY [-0.57, 0.09]%, DIA [-18.87, 15.11]%, EFX [-22.69, 20.81]%","XOM [-23.96, -0.52]%",2.617,0.962,0.044,0.623,0.432,0.045
"IYR [-31.10, 33.08]%, MU [-29.36, 40.29]%, DIA [1.16, 10.13]%","XLE [0.22, 9.99]%",1.453,0.765,0.222,0.336,0.445,0.29
