antecedent;consequent;lift;confidence;support;netconf;amplitude;coverage
JPM [-3.36, 17.56]%, SPY [3.79, 17.92]%, SAP [-24.64, 22.44]%;AAPL [-0.05, 18.41]%;1.584;0.946;0.03;0.36;0.498;0.032
month([1, 8]), week_number([549, 1172]), IYR [-31.10, 33.08]%, JPM [-9.02, 18.94]%, EFX [-17.79, 20.81]%, SPY [2.39, 17.92]%, BA [-27.03, 80.74]%;AAPL [0.11, 13.46]%;1.671;0.958;0.039;0.401;0.393;0.041
DIS [-2.10, 20.69]%, AMZN [2.50, 30.36]%, IYR [0.43, 33.08]%;AAPL [0.26, 7.38]%;1.344;0.681;0.131;0.216;0.582;0.193
INTC [-1.32, 20.24]%, month([1, 5]), EFX [2.33, 12.59]%, GLD [-7.42, 13.30]%;AAPL [0.47, 18.41]%;1.432;0.763;0.061;0.25;0.578;0.079
AMZN [-12.54, 40.68]%, JPM [1.58, 23.39]%, SAP [-24.55, 22.44]%, SPY [-11.67, 17.92]%;AAPL [1.11, 5.22]%;1.239;0.414;0.134;0.118;0.411;0.323
DIS [0.97, 20.10]%, SAP [2.91, 22.44]%, JPM [-4.74, 6.55]%, SPY [-6.44, 10.82]%, IYR [-14.44, 21.14]%, week_number([507, 1103]);AAPL [-1.19, 18.23]%;1.278;0.887;0.04;0.202;0.574;0.045
SAP [-20.36, 22.44]%, UUP [-1.43, 0.74]%, EFX [-2.69, 7.82]%, BA [-0.17, 84.72]%, TLT [-6.50, 8.35]%, EWP [-16.79, 19.94]%, KO [3.73, 11.49]%;AAPL [-1.27, 18.41]%;1.296;0.905;0.016;0.211;0.472;0.018
GOOGL [-11.47, 1.29]%, IYR [2.78, 9.03]%, SAP [-13.50, 11.72]%;AAPL [1.36, 9.18]%;1.213;0.491;0.022;0.09;0.738;0.045
INTC [0.68, 15.21]%, IYR [-4.63, 12.69]%;AAPL [1.55, 2.89]%;1.142;0.157;0.067;0.034;0.831;0.424
INTC [0.68, 15.21]%, IYR [-4.63, 12.69]%;AAPL [1.55, 2.89]%;1.142;0.157;0.067;0.034;0.831;0.424
MU [-8.28, 26.50]%, NVDA [-2.05, 36.33]%, AMZN [8.36, 28.74]%;AAPL [1.69, 18.41]%;1.764;0.694;0.029;0.314;0.585;0.042
UUP [-1.80, -0.05]%, IYR [0.25, 7.73]%;AAPL [-1.85, 6.46]%;1.191;0.797;0.164;0.161;0.843;0.206
NVDA [-13.23, 34.18]%, UUP [0.17, 2.17]%, DIS [-10.21, 13.57]%, BA [-19.71, 16.37]%;AAPL [-10.89, -3.38]%;1.132;0.159;0.056;0.029;0.621;0.353
BA [-10.47, 64.68]%, IYR [-4.54, -2.50]%, EFX [-16.72, 20.81]%;AAPL [-12.84, -0.74]%;1.397;0.466;0.035;0.143;0.594;0.075
EFX [-10.63, 1.44]%, SAP [-14.95, -0.07]%, CLX [-11.56, -3.72]%;AAPL [-13.96, 1.90]%;1.443;0.905;0.032;0.288;0.722;0.036
IYR [-4.06, -1.49]%, JPM [-18.65, 3.30]%;AAPL [-14.04, -2.35]%;1.578;0.319;0.044;0.136;0.8;0.139
JPM [-14.59, -1.62]%, IYR [0.09, 6.41]%;AAPL [-14.41, -2.19]%;1.124;0.243;0.021;0.029;0.815;0.088
IYR [-5.43, 7.83]%, XLE [2.90, 27.88]%;AAPL [2.02, 16.15]%;1.294;0.457;0.086;0.128;0.687;0.189
NVDA [7.96, 33.29]%, week_number([603, 1172]), XLE [-34.55, 4.87]%;AAPL [2.87, 18.41]%;1.814;0.5;0.022;0.235;0.54;0.044
WMT [-8.81, 15.32]%, CLX [-13.27, 0.68]%;AAPL [-20.97, -5.94]%;1.256;0.077;0.045;0.038;0.518;0.586
JPM [-37.13, 5.75]%, SAP [-25.73, -1.75]%;AAPL [-21.26, 1.38]%;1.275;0.729;0.183;0.21;0.481;0.252
IYR [-14.76, 33.08]%, SAP [-19.33, 16.33]%, AMZN [2.77, 14.43]%, EFX [-10.29, 7.17]%;AAPL [4.31, 11.05]%;1.951;0.306;0.074;0.197;0.577;0.242
month([1, 7]), SPY [-6.68, 10.22]%;AAPL [4.84, 18.41]%;1.116;0.157;0.091;0.039;0.559;0.581
EEM [-19.86, 28.15]%, EWP [-0.70, 19.94]%, JPM [-37.13, 17.99]%, DIS [-17.89, 11.87]%, IWM [-6.75, 21.65]%;AAPL [5.08, 10.93]%;1.203;0.143;0.091;0.067;0.411;0.64
EWP [-1.66, 19.94]%, week_number([390, 1139]), SPY [3.07, 17.92]%, JPM [-21.26, 21.41]%;AAPL [5.93, 18.41]%;4.169;0.409;0.015;0.323;0.529;0.038
EEM [-11.92, 6.57]%, XLF [0.60, 13.51]%, EFX [4.38, 20.81]%;AAPL [5.96, 18.41]%;1.542;0.15;0.01;0.057;0.711;0.068
AMZN [3.13, 19.20]%, NVDA [-19.55, 36.33]%;AAPL [8.05, 17.38]%;2.111;0.092;0.022;0.064;0.579;0.241
EFX [-8.44, 2.14]%, IYR [-3.30, 1.22]%, EWP [-25.35, 19.94]%, MSFT [-16.96, 1.53]%;AAPL [-9.64, -4.82]%;1.379;0.1;0.036;0.043;0.619;0.358
month([2, 6]), DIS [0.32, 16.34]%, IYR [-12.33, 10.76]%;BA [0.04, 80.98]%;1.279;0.686;0.14;0.188;0.561;0.204
SPY [3.76, 16.67]%, XLE [0.04, 13.93]%, AAPL [4.96, 18.41]%, XLV [-15.25, 8.39]%;BA [0.19, 51.35]%;1.759;0.905;0.016;0.397;0.548;0.018
