antecedent_symbol,interval_label,count
DIA,cruce,2.0
EEM,cruce,1.0
GOOGL,cruce,2.0
IWM,cruce,1.0
SHY,cruce,1.0
SPY,cruce,1.0
UUP,cruce,1.0
WMT,cruce,2.0
XLE,cruce,1.0
XLK,cruce,1.0
DIA,negativo,4.0
EEM,negativo,1.0
GOOGL,negativo,5.0
IWM,negativo,1.0
NVDA,negativo,1.0
SHY,negativo,2.0
SPY,negativo,2.0
UUP,negativo,2.0
WMT,negativo,3.0
XLE,negativo,4.0
XLK,negativo,3.0
XOM,negativo,1.0
AAPL,positivo,1.0
DIA,positivo,2.0
EEM,positivo,1.0
GOOGL,positivo,2.0
HYG,positivo,2.0
NVDA,positivo,1.0
WMT,positivo,1.0
XLK,positivo,1.0
XOM,positivo,1.0
