antecedent_symbol,interval_label,count
AAPL,cruce,1.0
BA,cruce,3.0
CPB,cruce,2.0
DIA,cruce,5.0
EEM,cruce,1.0
EFX,cruce,3.0
EWP,cruce,2.0
GOOGL,cruce,7.0
HYG,cruce,4.0
IWM,cruce,2.0
JPM,cruce,3.0
MSFT,cruce,11.0
MU,cruce,2.0
NVDA,cruce,4.0
SAP,cruce,3.0
SPY,cruce,2.0
TLT,cruce,2.0
TSLA,cruce,1.0
VXX,cruce,7.0
WMT,cruce,4.0
XLE,cruce,4.0
XLF,cruce,1.0
XLK,cruce,5.0
XOM,cruce,1.0
BA,negativo,3.0
CPB,negativo,2.0
DIA,negativo,1.0
EFX,negativo,1.0
EWP,negativo,1.0
GOOGL,negativo,2.0
HYG,negativo,1.0
JPM,negativo,1.0
MSFT,negativo,4.0
NVDA,negativo,2.0
SAP,negativo,1.0
TLT,negativo,1.0
VXX,negativo,4.0
WMT,negativo,1.0
XLE,negativo,1.0
XLK,negativo,1.0
XOM,negativo,1.0
AAPL,positivo,2.0
BA,positivo,2.0
CLX,positivo,1.0
CPB,positivo,1.9999999999999998
DIA,positivo,8.0
DIS,positivo,1.0
EEM,positivo,1.0
EFX,positivo,2.0
EWP,positivo,2.0
GOOGL,positivo,10.0
HYG,positivo,7.0
IWM,positivo,1.0
JPM,positivo,2.0
MSFT,positivo,10.0
MU,positivo,4.0
NVDA,positivo,3.0
SAP,positivo,3.0
SPY,positivo,1.0
TLT,positivo,1.0
VXX,positivo,2.0
WMT,positivo,6.0
XLE,positivo,7.0
XLF,positivo,3.0
XLK,positivo,8.0
XOM,positivo,1.0
