antecedent_symbol,interval_label,count
DIA,cruce,2.0
GOOGL,cruce,2.0
MSFT,cruce,1.0
NVDA,cruce,2.0
SAP,cruce,1.0
TLT,cruce,1.0
UUP,cruce,1.0
WMT,cruce,2.0
XLK,cruce,1.0
AAPL,negativo,4.0
CPB,negativo,3.0
DIA,negativo,19.0
GLD,negativo,2.0
GOOGL,negativo,7.0
HYG,negativo,4.0
JNJ,negativo,4.0
KO,negativo,5.0
MSFT,negativo,17.0
NVDA,negativo,3.0
SAP,negativo,3.0
SPY,negativo,6.0
TLT,negativo,1.0
UUP,negativo,2.0
VXX,negativo,1.0
WMT,negativo,1.0
XLK,negativo,4.0
XOM,negativo,8.0
AAPL,positivo,5.0
CPB,positivo,3.0
DIA,positivo,18.0
DIS,positivo,1.0
EEM,positivo,1.0
GLD,positivo,1.0
GOOGL,positivo,12.0
HYG,positivo,8.0
IWM,positivo,2.0
IYR,positivo,4.0
MSFT,positivo,11.0
MU,positivo,6.0
NVDA,positivo,10.0
SAP,positivo,6.0
SPY,positivo,3.0
UUP,positivo,3.0
WMT,positivo,3.0
XLF,positivo,1.0
XLK,positivo,10.0
XOM,positivo,6.0
