antecedent_symbol,interval_label,count
AAPL,negativo,1.0
BA,negativo,1.0
CPB,negativo,1.0
DIA,negativo,3.0
DIS,negativo,1.0
EEM,negativo,2.0
GOOGL,negativo,4.0
HYG,negativo,1.0
IWM,negativo,5.0
JPM,negativo,2.0
MSFT,negativo,2.0
MU,negativo,4.0
NVDA,negativo,1.0
QQQ,negativo,1.0
SPY,negativo,1.0
VXX,negativo,2.0
XLE,negativo,1.0
XLK,negativo,3.0
XOM,negativo,1.0
CLX,positivo,1.0
EEM,positivo,1.0
GLD,positivo,1.0
GOOGL,positivo,1.0
IYR,positivo,1.0
MSFT,positivo,1.0
SPY,positivo,2.0
VXX,positivo,1.0
XLK,positivo,1.0
XOM,positivo,1.0
