antecedent_symbol,interval_label,count
CPB,cruce,1.0
DIA,cruce,4.0
DIS,cruce,1.0
EEM,cruce,2.0
GOOGL,cruce,5.0
HYG,cruce,1.0
IWM,cruce,2.0
MSFT,cruce,3.0
MU,cruce,1.0
QQQ,cruce,1.0
SAP,cruce,1.0
SHY,cruce,1.0
SPY,cruce,2.0
TLT,cruce,1.0
UUP,cruce,1.0
WMT,cruce,1.0
XLE,cruce,1.0
AAPL,negativo,2.0
CPB,negativo,3.0
DIA,negativo,28.0
DIS,negativo,4.0
EEM,negativo,3.0
GLD,negativo,2.0
GOOGL,negativo,33.0
HYG,negativo,9.0
IWM,negativo,6.0
IYR,negativo,2.0
JNJ,negativo,2.0
MSFT,negativo,19.0
MU,negativo,5.0
NVDA,negativo,8.0
QQQ,negativo,1.0
SAP,negativo,4.0
SHY,negativo,5.0
SPY,negativo,24.0
TLT,negativo,5.0
UUP,negativo,8.0
WMT,negativo,13.0
XLE,negativo,14.0
XLF,negativo,8.0
XOM,negativo,4.0
AAPL,positivo,2.0
BA,positivo,1.0
CLX,positivo,1.0
CPB,positivo,2.0
DIA,positivo,3.0
DIS,positivo,2.0
EEM,positivo,3.0
GLD,positivo,1.0
GOOGL,positivo,11.0
HYG,positivo,1.0
IWM,positivo,5.0
JNJ,positivo,1.0
JPM,positivo,1.0
MSFT,positivo,4.0
MU,positivo,4.0
NVDA,positivo,4.0
QQQ,positivo,1.0
SHY,positivo,1.0
SPY,positivo,6.0
TLT,positivo,2.0
UUP,positivo,3.0
VXX,positivo,1.0
WMT,positivo,6.0
XLE,positivo,3.0
XLF,positivo,3.0
XLV,positivo,1.0
XOM,positivo,1.0
