antecedent_symbol,interval_label,count
DIA,negativo,2.0
DIS,negativo,2.0
EEM,negativo,4.0
EFX,negativo,3.0
EWP,negativo,3.0
GOOGL,negativo,4.0
KO,negativo,3.0
MSFT,negativo,4.0
MU,negativo,3.0
NVDA,negativo,1.0
QQQ,negativo,2.0
SHY,negativo,1.0
SPY,negativo,5.0
UUP,negativo,5.0
WMT,negativo,3.0
XLE,negativo,4.0
XLK,negativo,1.0
CPB,positivo,2.0
DIA,positivo,3.0
EEM,positivo,1.0
EWP,positivo,1.0
GLD,positivo,1.0
GOOGL,positivo,3.0
IWM,positivo,1.0
IYR,positivo,1.0
MSFT,positivo,3.0
MU,positivo,1.0
QQQ,positivo,3.0
SPY,positivo,2.0
VXX,positivo,2.0
WMT,positivo,3.0
XLE,positivo,1.0
XLF,positivo,1.0
XLK,positivo,2.0
