antecedent_symbol,interval_label,count
INTC,cruce,1.0
IYR,cruce,1.0
BA,negativo,2.0
CLX,negativo,2.0
DIS,negativo,1.0
EFX,negativo,3.0
EWP,negativo,1.0
IYR,negativo,4.0
JPM,negativo,3.0
MSFT,negativo,1.0
NVDA,negativo,1.0
SAP,negativo,2.0
UUP,negativo,1.0
WMT,negativo,1.0
AMZN,positivo,5.0
BA,positivo,2.0
DIS,positivo,3.0
EEM,positivo,2.0
EFX,positivo,5.0
EWP,positivo,3.0
GLD,positivo,1.0
GOOGL,positivo,1.0
INTC,positivo,2.0
IWM,positivo,1.0
IYR,positivo,8.0
JPM,positivo,6.0
KO,positivo,1.0
MU,positivo,1.0
NVDA,positivo,3.0
SAP,positivo,6.0
SPY,positivo,6.0
TLT,positivo,1.0
UUP,positivo,2.0
XLE,positivo,2.0
XLF,positivo,1.0
