antecedent_symbol,interval_label,count
AMZN,negativo,1.0
BA,negativo,1.0
EEM,negativo,1.0
INTC,negativo,1.0
IYR,negativo,4.0
JPM,negativo,1.0
MSFT,negativo,1.0
NVDA,negativo,1.0
SHY,negativo,1.0
SPY,negativo,1.0
XLE,negativo,1.0
XLK,negativo,1.0
AAPL,positivo,2.0
AMZN,positivo,2.0
BA,positivo,1.0
CLX,positivo,2.0
CPB,positivo,1.0
EEM,positivo,2.0
EFX,positivo,1.0
EWP,positivo,1.0
GOOGL,positivo,2.0
HYG,positivo,1.0
INTC,positivo,1.0
IWM,positivo,1.0
IYR,positivo,6.0
JPM,positivo,3.0
KO,positivo,5.0
MSFT,positivo,1.0
NVDA,positivo,1.0
SAP,positivo,4.0
SHY,positivo,2.0
SPY,positivo,3.0
TLT,positivo,1.0
UUP,positivo,1.0
WMT,positivo,1.0
XLE,positivo,2.0
XLF,positivo,1.0
XOM,positivo,1.0
