antecedent_symbol,interval_label,count
AAPL,negativo,1.0
BA,negativo,3.0
CLX,negativo,1.0
DIS,negativo,4.0
EEM,negativo,3.0
EWP,negativo,1.0
GOOGL,negativo,1.0
INTC,negativo,1.0
IYR,negativo,3.0
JPM,negativo,1.0
SPY,negativo,2.0
UUP,negativo,1.0
XLE,negativo,2.0
XLK,negativo,1.0
XLV,negativo,1.0
AAPL,positivo,2.0
AMZN,positivo,2.0
DIS,positivo,2.0
EEM,positivo,1.0
EWP,positivo,2.0
GOOGL,positivo,1.0
IYR,positivo,6.0
JPM,positivo,2.0
KO,positivo,1.0
MSFT,positivo,1.0
SAP,positivo,1.0
SPY,positivo,2.0
TLT,positivo,1.0
UUP,positivo,3.0
XLE,positivo,2.0
XLK,positivo,1.0
