antecedent_symbol,interval_label,count
AAPL,cruce,1.0
AMZN,cruce,5.0
BA,cruce,2.0
CLX,cruce,3.0
CPB,cruce,1.0
DIS,cruce,8.0
EEM,cruce,1.0
EFX,cruce,2.0
GLD,cruce,1.0
GOOGL,cruce,2.0
INTC,cruce,6.0
IWM,cruce,1.0
JPM,cruce,3.0
KO,cruce,2.0
MSFT,cruce,4.0
NVDA,cruce,3.0
SAP,cruce,7.0
SPY,cruce,7.0
UUP,cruce,1.0
XLE,cruce,6.0
XLF,cruce,3.0
XLK,cruce,4.0
XLV,cruce,1.0
XOM,cruce,1.0
AAPL,negativo,7.0
AMZN,negativo,15.0
BA,negativo,10.0
CLX,negativo,10.0
CPB,negativo,1.0
DIS,negativo,8.0
EEM,negativo,11.0
EFX,negativo,4.0
EWP,negativo,2.0
GLD,negativo,1.0
GOOGL,negativo,3.0
HYG,negativo,1.0
INTC,negativo,11.0
IWM,negativo,2.0
JPM,negativo,20.0
KO,negativo,3.0
MU,negativo,3.0
NVDA,negativo,10.0
SAP,negativo,26.0
SPY,negativo,18.0
UUP,negativo,7.0
WMT,negativo,3.0
XLE,negativo,9.0
XLF,negativo,7.0
XLK,negativo,10.0
XLV,negativo,2.0
AAPL,positivo,13.0
AMZN,positivo,20.0
BA,positivo,8.0
CLX,positivo,7.0
CPB,positivo,10.0
DIA,positivo,1.0
DIS,positivo,13.0
EEM,positivo,12.0
EFX,positivo,13.0
EWP,positivo,6.0
GOOGL,positivo,22.0
HYG,positivo,1.0
INTC,positivo,24.0
IWM,positivo,4.0
JPM,positivo,28.0
KO,positivo,18.0
MSFT,positivo,9.0
MU,positivo,14.0
NVDA,positivo,10.0
SAP,positivo,22.0
SHY,positivo,4.0
SPY,positivo,44.0
TLT,positivo,5.0
UUP,positivo,5.0
WMT,positivo,3.0
XLE,positivo,15.0
XLF,positivo,9.0
XLK,positivo,15.0
XLV,positivo,7.0
XOM,positivo,2.0
