antecedent_symbol,interval_label,count
AAPL,cruce,1.0
CLX,cruce,1.0
DIS,cruce,1.0
GOOGL,cruce,1.0
HYG,cruce,1.0
INTC,cruce,1.0
IWM,cruce,1.0
IYR,cruce,5.0
JPM,cruce,1.0
SAP,cruce,2.0
SPY,cruce,4.0
UUP,cruce,1.0
XLE,cruce,1.0
XLK,cruce,1.0
XLV,cruce,2.0
AAPL,negativo,1.0
DIS,negativo,2.0
EEM,negativo,1.0
EFX,negativo,1.0
GOOGL,negativo,2.0
HYG,negativo,1.0
INTC,negativo,1.0
IWM,negativo,1.0
IYR,negativo,2.0
NVDA,negativo,1.0
SAP,negativo,2.0
SPY,negativo,4.0
UUP,negativo,1.0
WMT,negativo,1.0
XLE,negativo,2.0
XLK,negativo,2.0
XLV,negativo,2.0
AAPL,positivo,3.0
BA,positivo,1.0
CLX,positivo,2.0
DIS,positivo,3.0
EEM,positivo,1.0
EFX,positivo,2.0
EWP,positivo,1.0
IWM,positivo,1.0
IYR,positivo,13.000000000000002
JPM,positivo,3.0
MU,positivo,1.0
NVDA,positivo,3.0
SAP,positivo,3.0
SHY,positivo,1.0
SPY,positivo,5.0
XLE,positivo,4.0
XOM,positivo,1.0
